source,target,relationship
Acanthomyops latipes,Arizona,locatedIn
Acinonyx jubatus,New Mexico,locatedIn
Acinonyx jubatus,Ohio,locatedIn
Acipenser brevirostrum,Massachusetts,locatedIn
Acipenser brevirostrum,New Jersey,locatedIn
Acipenser brevirostrum,Connecticut,locatedIn
Acipenser brevirostrum,South Carolina,locatedIn
Acipenser fulvescens,New York,locatedIn
Acipenser fulvescens,Ohio,locatedIn
Acipenser fulvescens,,locatedIn
Acipenser fulvescens,Georgia,locatedIn
Acipenser fulvescens,Arkansas,locatedIn
Acipenser fulvescens,Michigan,locatedIn
Acipenser fulvescens,Mississippi,locatedIn
Acipenser fulvescens,Nebraska,locatedIn
Acipenser fulvescens,Wisconsin,locatedIn
Acipenser fulvescens,Minnesota,locatedIn
Acipenser medirostris,Oregon,locatedIn
Acipenser medirostris,California,locatedIn
Acipenser medirostris,Alabama,locatedIn
Acipenser medirostris,,locatedIn
Acipenser oxyrinchus,Florida,locatedIn
Acipenser oxyrinchus,,locatedIn
Acipenser oxyrinchus,Pennsylvania,locatedIn
Acipenser transmontanus,Idaho,locatedIn
Acipenser transmontanus,Alabama,locatedIn
Acipenser transmontanus,Ohio,locatedIn
Acipenser transmontanus,California,locatedIn
Acipenser transmontanus,Oregon,locatedIn
Acrocodia indica,Washington,locatedIn
Acropora cervicornis,,locatedIn
Acropora palmata,,locatedIn
Actinemys marmorata,California,locatedIn
Actinemys marmorata,,locatedIn
Addax nasomaculatus,Texas,locatedIn
Aetobatus narinari,,locatedIn
Aetobatus ocellatus,,locatedIn
Agapornis nigrigenis,California,locatedIn
Agaricia lamarcki,,locatedIn
Agelaius tricolor,California,locatedIn
Agelaius tricolor,Washington,locatedIn
Agelaius tricolor,Arizona,locatedIn
Ailurus fulgens,New Mexico,locatedIn
Ailurus fulgens,Washington,locatedIn
Ailurus fulgens,California,locatedIn
Alasmidonta atropurpurea,Kentucky,locatedIn
Alasmidonta atropurpurea,Tennessee,locatedIn
Alasmidonta triangulata,Alabama,locatedIn
Alasmidonta varicosa,North Carolina,locatedIn
Alligator sinensis,Texas,locatedIn
Alopias pelagicus,,locatedIn
Alopias superciliosus,,locatedIn
Alopias vulpinus,,locatedIn
Alosa aestivalis,South Carolina,locatedIn
Alosa aestivalis,Texas,locatedIn
Alosa aestivalis,Pennsylvania,locatedIn
Alosa aestivalis,Georgia,locatedIn
Alosa aestivalis,Florida,locatedIn
Alosa aestivalis,Maine,locatedIn
Alosa aestivalis,Connecticut,locatedIn
Alosa aestivalis,New York,locatedIn
Alosa aestivalis,New Jersey,locatedIn
Alosa aestivalis,North Carolina,locatedIn
Alosa aestivalis,,locatedIn
Alosa aestivalis,Alabama,locatedIn
Alosa aestivalis,Vermont,locatedIn
Alosa aestivalis,Tennessee,locatedIn
Alosa aestivalis,Virginia,locatedIn
Amazona finschi,Texas,locatedIn
Amazona finschi,California,locatedIn
Amazona finschi,Arizona,locatedIn
Amazona oratrix,California,locatedIn
Amazona oratrix,Utah,locatedIn
Amazona oratrix,Texas,locatedIn
Amazona viridigenalis,Texas,locatedIn
Amazona viridigenalis,California,locatedIn
Amblema neislerii,Florida,locatedIn
Amblema neislerii,Alabama,locatedIn
Amblonyx cinereus,Texas,locatedIn
Amblyraja radiata,,locatedIn
Ambystoma bishopi,Florida,locatedIn
Ambystoma californiense,California,locatedIn
Ambystoma cingulatum,South Carolina,locatedIn
Ambystoma cingulatum,Florida,locatedIn
Ammocrypta clara,Louisiana,locatedIn
Ammocrypta clara,Iowa,locatedIn
Ammocrypta clara,Wisconsin,locatedIn
Ammocrypta clara,Texas,locatedIn
Ammocrypta clara,West Virginia,locatedIn
Ammocrypta clara,Missouri,locatedIn
Ammospermophilus nelsoni,California,locatedIn
Ammospiza caudacuta,Virginia,locatedIn
Ammospiza caudacuta,,locatedIn
Ammospiza caudacuta,Maine,locatedIn
Ammotragus lervia,Texas,locatedIn
Ammotragus lervia,New Mexico,locatedIn
Anas laysanensis,,locatedIn
Anas wyvilliana,Hawaii,locatedIn
Anaxyrus californicus,California,locatedIn
Anaxyrus canorus,California,locatedIn
Anaxyrus houstonensis,Texas,locatedIn
Anaxyrus nelsoni,Nevada,locatedIn
Anergates atratulus,Ohio,locatedIn
Anguilla rostrata,South Carolina,locatedIn
Anguilla rostrata,Florida,locatedIn
Anguilla rostrata,Illinois,locatedIn
Anguilla rostrata,Louisiana,locatedIn
Anguilla rostrata,Alabama,locatedIn
Anguilla rostrata,Ohio,locatedIn
Anguilla rostrata,Pennsylvania,locatedIn
Anguilla rostrata,New Jersey,locatedIn
Anguilla rostrata,Maryland,locatedIn
Anguilla rostrata,Georgia,locatedIn
Anguilla rostrata,Virginia,locatedIn
Anguilla rostrata,Texas,locatedIn
Anguilla rostrata,Massachusetts,locatedIn
Anguilla rostrata,Mississippi,locatedIn
Anguilla rostrata,North Carolina,locatedIn
Anguilla rostrata,Maine,locatedIn
Anguilla rostrata,Delaware,locatedIn
Anguilla rostrata,,locatedIn
Anguilla rostrata,Vermont,locatedIn
Anguilla rostrata,Arizona,locatedIn
Anguilla rostrata,New York,locatedIn
Anodonta californiensis,Utah,locatedIn
Anodonta californiensis,California,locatedIn
Anodonta californiensis,Idaho,locatedIn
Anodonta nuttalliana,Utah,locatedIn
Anodonta nuttalliana,California,locatedIn
Anodorhynchus hyacinthinus,New Mexico,locatedIn
Anodorhynchus hyacinthinus,Louisiana,locatedIn
Anser cygnoides,California,locatedIn
Anser erythropus,,locatedIn
Anthropoides paradiseus,Wisconsin,locatedIn
Anthus spragueii,Texas,locatedIn
Anthus spragueii,Colorado,locatedIn
Anthus spragueii,North Dakota,locatedIn
Anthus spragueii,California,locatedIn
Aotus nancymai,Washington,locatedIn
Aphelocoma coerulescens,Colorado,locatedIn
Aphelocoma coerulescens,Texas,locatedIn
Aphelocoma coerulescens,Florida,locatedIn
Aphelocoma coerulescens,California,locatedIn
Aphelocoma coerulescens,,locatedIn
Aphelocoma coerulescens,New Mexico,locatedIn
Aphelocoma coerulescens,Arizona,locatedIn
Apostichopus parvimensis,,locatedIn
Apteryx australis,California,locatedIn
Ara glaucogularis,Colorado,locatedIn
Ara militaris,Texas,locatedIn
Ara militaris,Louisiana,locatedIn
Aratinga solstitialis,New Mexico,locatedIn
Aratinga solstitialis,Utah,locatedIn
Archoplites interruptus,Oregon,locatedIn
Archoplites interruptus,Colorado,locatedIn
Archoplites interruptus,California,locatedIn
Archoplites interruptus,Nevada,locatedIn
Arctictis binturong,New Mexico,locatedIn
Asarcornis scutulata,Louisiana,locatedIn
Ateles belzebuth,New Mexico,locatedIn
Atelopus flavescens,Ohio,locatedIn
Athearnia anthonyi,Tennessee,locatedIn
Atrytone arogos,Iowa,locatedIn
Atrytone arogos,Florida,locatedIn
Aythya ferina,,locatedIn
Aythya ferina,Alaska,locatedIn
Babyrousa babyrussa,Texas,locatedIn
Babyrousa celebensis,Texas,locatedIn
Balaeniceps rex,Colorado,locatedIn
Balaenoptera musculus,California,locatedIn
Balaenoptera musculus,,locatedIn
Balaenoptera physalus,California,locatedIn
Balaenoptera physalus,,locatedIn
Balaenoptera physalus,Alaska,locatedIn
Balearica pavonina,Wisconsin,locatedIn
Balearica regulorum,Wisconsin,locatedIn
Balistes capriscus,,locatedIn
Balistes capriscus,Alabama,locatedIn
Bathytoshia centroura,,locatedIn
Bathytoshia lata,,locatedIn
Batrachoseps campi,California,locatedIn
Batrachoseps regius,California,locatedIn
Batrachoseps simatus,California,locatedIn
Batrachoseps stebbinsi,California,locatedIn
Batrachoseps wrighti,Oregon,locatedIn
Bombus affinis,Illinois,locatedIn
Bombus affinis,New Mexico,locatedIn
Bombus affinis,Connecticut,locatedIn
Bombus affinis,Indiana,locatedIn
Bombus californicus,Washington,locatedIn
Bombus californicus,Oregon,locatedIn
Bombus californicus,Wyoming,locatedIn
Bombus californicus,Colorado,locatedIn
Bombus californicus,Utah,locatedIn
Bombus californicus,California,locatedIn
Bombus californicus,Montana,locatedIn
Bombus californicus,Nevada,locatedIn
Bombus caliginosus,Oregon,locatedIn
Bombus caliginosus,,locatedIn
Bombus caliginosus,Washington,locatedIn
Bombus caliginosus,California,locatedIn
Bombus crotchii,California,locatedIn
Bombus fervidus,Pennsylvania,locatedIn
Bombus fervidus,Wyoming,locatedIn
Bombus fervidus,Virginia,locatedIn
Bombus fervidus,Colorado,locatedIn
Bombus fervidus,Washington,locatedIn
Bombus fervidus,Oregon,locatedIn
Bombus fervidus,Ohio,locatedIn
Bombus fervidus,Massachusetts,locatedIn
Bombus fervidus,Michigan,locatedIn
Bombus fervidus,Utah,locatedIn
Bombus fervidus,New Jersey,locatedIn
Bombus fervidus,Montana,locatedIn
Bombus fervidus,Illinois,locatedIn
Bombus fervidus,,locatedIn
Bombus fervidus,Idaho,locatedIn
Bombus fervidus,Wisconsin,locatedIn
Bombus fervidus,Indiana,locatedIn
Bombus fervidus,New York,locatedIn
Bombus fervidus,North Dakota,locatedIn
Bombus fervidus,Kentucky,locatedIn
Bombus fervidus,Maine,locatedIn
Bombus fervidus,Minnesota,locatedIn
Bombus fervidus,Tennessee,locatedIn
Bombus fervidus,Delaware,locatedIn
Bombus fervidus,Connecticut,locatedIn
Bombus fervidus,New Mexico,locatedIn
Bombus fervidus,West Virginia,locatedIn
Bombus fervidus,California,locatedIn
Bombus fervidus,Vermont,locatedIn
Bombus fraternus,Colorado,locatedIn
Bombus fraternus,North Carolina,locatedIn
Bombus fraternus,Nebraska,locatedIn
Bombus fraternus,Illinois,locatedIn
Bombus fraternus,Kansas,locatedIn
Bombus fraternus,Florida,locatedIn
Bombus fraternus,South Dakota,locatedIn
Bombus mckayi,Alaska,locatedIn
Bombus morrisoni,Colorado,locatedIn
Bombus morrisoni,Utah,locatedIn
Bombus morrisoni,California,locatedIn
Bombus morrisoni,Oregon,locatedIn
Bombus morrisoni,Nevada,locatedIn
Bombus morrisoni,Washington,locatedIn
Bombus morrisoni,New Mexico,locatedIn
Bombus occidentalis,Idaho,locatedIn
Bombus occidentalis,Wyoming,locatedIn
Bombus occidentalis,Alaska,locatedIn
Bombus occidentalis,Oregon,locatedIn
Bombus occidentalis,Colorado,locatedIn
Bombus occidentalis,Utah,locatedIn
Bombus occidentalis,Montana,locatedIn
Bombus occidentalis,Nevada,locatedIn
Bombus occidentalis,Washington,locatedIn
Bombus occidentalis,Missouri,locatedIn
Bombus pensylvanicus,Missouri,locatedIn
Bombus pensylvanicus,Florida,locatedIn
Bombus pensylvanicus,Kansas,locatedIn
Bombus pensylvanicus,North Carolina,locatedIn
Bombus pensylvanicus,Texas,locatedIn
Bombus pensylvanicus,Tennessee,locatedIn
Bombus pensylvanicus,Arkansas,locatedIn
Bombus pensylvanicus,Alabama,locatedIn
Bombus pensylvanicus,Louisiana,locatedIn
Bombus pensylvanicus,Colorado,locatedIn
Bombus pensylvanicus,Utah,locatedIn
Bombus pensylvanicus,Oklahoma,locatedIn
Bombus pensylvanicus,Kentucky,locatedIn
Bombus pensylvanicus,Illinois,locatedIn
Bombus pensylvanicus,Mississippi,locatedIn
Bombus pensylvanicus,Iowa,locatedIn
Bombus pensylvanicus,Indiana,locatedIn
Bombus pensylvanicus,Nebraska,locatedIn
Bombus pensylvanicus,South Carolina,locatedIn
Bombus pensylvanicus,South Dakota,locatedIn
Bombus pensylvanicus,Ohio,locatedIn
Bombus pensylvanicus,Connecticut,locatedIn
Bombus pensylvanicus,Virginia,locatedIn
Bombus sonorus,Colorado,locatedIn
Bombus sonorus,Texas,locatedIn
Bombus sonorus,New Mexico,locatedIn
Bombus suckleyi,Colorado,locatedIn
Bombus suckleyi,Idaho,locatedIn
Bombus suckleyi,Montana,locatedIn
Bombus suckleyi,Utah,locatedIn
Bombus suckleyi,California,locatedIn
Bombus terricola,Pennsylvania,locatedIn
Bombus terricola,,locatedIn
Bombus terricola,New York,locatedIn
Bombus terricola,Massachusetts,locatedIn
Bombus terricola,Maine,locatedIn
Bombus terricola,Oregon,locatedIn
Bombus terricola,South Dakota,locatedIn
Bombus terricola,Washington,locatedIn
Bombus terricola,North Carolina,locatedIn
Bombus terricola,Vermont,locatedIn
Bombus variabilis,Florida,locatedIn
Bos javanicus,New Mexico,locatedIn
Brachyramphus marmoratus,,locatedIn
Brachyramphus marmoratus,Alaska,locatedIn
Brachyramphus marmoratus,Oregon,locatedIn
Brachyramphus marmoratus,Washington,locatedIn
Brachyramphus marmoratus,California,locatedIn
Branchinecta conservatio,California,locatedIn
Branchinecta longiantenna,California,locatedIn
Branchinecta lynchi,California,locatedIn
Branchinecta lynchi,Oregon,locatedIn
Branchinecta lynchi,,locatedIn
Branchinecta sandiegonensis,California,locatedIn
Branta ruficollis,Louisiana,locatedIn
Bubalus depressicornis,Washington,locatedIn
Bubo scandiacus,Nebraska,locatedIn
Bubo scandiacus,Colorado,locatedIn
Bubo scandiacus,Alaska,locatedIn
Bubo scandiacus,,locatedIn
Bubo scandiacus,New York,locatedIn
Bubo scandiacus,Washington,locatedIn
Bubo scandiacus,Ohio,locatedIn
Bubo scandiacus,Michigan,locatedIn
Bubo scandiacus,Kansas,locatedIn
Bubo scandiacus,Maine,locatedIn
Bubo scandiacus,Indiana,locatedIn
Bubo scandiacus,Montana,locatedIn
Buceros rhinoceros,Louisiana,locatedIn
Bucorvus leadbeateri,Texas,locatedIn
Budorcas taxicolor,New Mexico,locatedIn
Budorcas taxicolor,Washington,locatedIn
Bugeranus carunculatus,Wisconsin,locatedIn
Cacatua alba,Utah,locatedIn
Cacatua alba,Louisiana,locatedIn
Calathaemon holthuisi,Texas,locatedIn
Calcarius ornatus,Wyoming,locatedIn
Calcarius ornatus,Colorado,locatedIn
Calcarius ornatus,North Dakota,locatedIn
Calcarius ornatus,South Dakota,locatedIn
Calcarius ornatus,New Mexico,locatedIn
Calcarius ornatus,Kansas,locatedIn
Calcarius ornatus,Alaska,locatedIn
Calcarius ornatus,California,locatedIn
Calcarius ornatus,Montana,locatedIn
Calcarius ornatus,Arizona,locatedIn
Calidris acuminata,Alaska,locatedIn
Calidris acuminata,,locatedIn
Calidris acuminata,Oregon,locatedIn
Callocephalon fimbriatum,California,locatedIn
Callorhinus ursinus,,locatedIn
Callorhinus ursinus,Alaska,locatedIn
Callorhinus ursinus,Washington,locatedIn
Callorhinus ursinus,California,locatedIn
Cambarus cracens,Tennessee,locatedIn
Cambarus harti,Georgia,locatedIn
Cambarus jonesi,Alabama,locatedIn
Cambarus speleocoopi,Alabama,locatedIn
Camelus bactrianus,New Mexico,locatedIn
Camelus bactrianus,Ohio,locatedIn
Camelus bactrianus,Utah,locatedIn
Camelus bactrianus,Alaska,locatedIn
Campeloma decampi,Alabama,locatedIn
Canis lupus,North Carolina,locatedIn
Canis lupus,Mississippi,locatedIn
Canis lupus,Washington,locatedIn
Canis lupus,Missouri,locatedIn
Capra nubiana,Texas,locatedIn
Carcharhinus acronotus,Alabama,locatedIn
Carcharhinus amblyrhynchos,,locatedIn
Carcharhinus brevipinna,,locatedIn
Carcharhinus leucas,Texas,locatedIn
Carcharhinus leucas,Mississippi,locatedIn
Carcharhinus leucas,Alabama,locatedIn
Carcharhinus leucas,Florida,locatedIn
Carcharhinus leucas,,locatedIn
Carcharhinus limbatus,Mississippi,locatedIn
Carcharhinus limbatus,Alabama,locatedIn
Carcharhinus limbatus,,locatedIn
Carcharhinus limbatus,Ohio,locatedIn
Carcharhinus longimanus,California,locatedIn
Carcharhinus melanopterus,,locatedIn
Carcharhinus obscurus,Alabama,locatedIn
Carcharhinus obscurus,,locatedIn
Carcharhinus perezii,,locatedIn
Carcharhinus plumbeus,Alabama,locatedIn
Carcharhinus plumbeus,,locatedIn
Carcharhinus signatus,,locatedIn
Carcharias taurus,,locatedIn
Carcharias taurus,North Carolina,locatedIn
Carcharodon carcharias,California,locatedIn
Carcharodon carcharias,,locatedIn
Carcharodon carcharias,Florida,locatedIn
Caretta caretta,North Carolina,locatedIn
Caretta caretta,,locatedIn
Caretta caretta,Georgia,locatedIn
Caretta caretta,Florida,locatedIn
Carettochelys insculpta,Florida,locatedIn
Catagonus wagneri,California,locatedIn
Catharus bicknelli,Vermont,locatedIn
Catharus bicknelli,New Hampshire,locatedIn
Catharus bicknelli,New Jersey,locatedIn
Catharus bicknelli,New York,locatedIn
Catharus bicknelli,Maine,locatedIn
Catostomus santaanae,California,locatedIn
Catostomus warnerensis,Oregon,locatedIn
Cebuella pygmaea,Texas,locatedIn
Centrocercus minimus,Colorado,locatedIn
Centrocercus minimus,California,locatedIn
Centrochelys sulcata,Texas,locatedIn
Centrophorus granulosus,,locatedIn
Centrophorus tessellatus,,locatedIn
Centroscymnus owstonii,,locatedIn
Cetorhinus maximus,California,locatedIn
Chaetura andrei,California,locatedIn
Chaetura pelagica,Colorado,locatedIn
Chaetura pelagica,Florida,locatedIn
Chaetura pelagica,New York,locatedIn
Chaetura pelagica,West Virginia,locatedIn
Chaetura pelagica,Texas,locatedIn
Chaetura pelagica,North Carolina,locatedIn
Chaetura pelagica,Illinois,locatedIn
Chaetura pelagica,Ohio,locatedIn
Chaetura pelagica,Louisiana,locatedIn
Chaetura pelagica,Missouri,locatedIn
Chaetura pelagica,Mississippi,locatedIn
Chaetura pelagica,Indiana,locatedIn
Chaetura pelagica,Nebraska,locatedIn
Chaetura pelagica,Arkansas,locatedIn
Chaetura pelagica,Minnesota,locatedIn
Chaetura pelagica,,locatedIn
Charina umbratica,California,locatedIn
Chasiempis ibidis,Hawaii,locatedIn
Chasiempis sandwichensis,Hawaii,locatedIn
Chasiempis sclateri,Hawaii,locatedIn
Chasmistes brevirostris,Oregon,locatedIn
Chasmistes brevirostris,California,locatedIn
Chelonia mydas,,locatedIn
Chelonia mydas,North Carolina,locatedIn
Chelonia mydas,Washington,locatedIn
Chinchilla lanigera,Washington,locatedIn
Chinchilla lanigera,Utah,locatedIn
Chinchilla lanigera,Texas,locatedIn
Chrosomus saylori,Tennessee,locatedIn
Chrosomus tennesseensis,Alabama,locatedIn
Chrosomus tennesseensis,Tennessee,locatedIn
Clangula hyemalis,Alaska,locatedIn
Clangula hyemalis,,locatedIn
Clangula hyemalis,Missouri,locatedIn
Clangula hyemalis,Michigan,locatedIn
Clangula hyemalis,New Mexico,locatedIn
Clangula hyemalis,Connecticut,locatedIn
Clangula hyemalis,New York,locatedIn
Clangula hyemalis,California,locatedIn
Clangula hyemalis,Arizona,locatedIn
Clangula hyemalis,Washington,locatedIn
Clangula hyemalis,Maine,locatedIn
Clemmys guttata,Virginia,locatedIn
Clemmys guttata,New Jersey,locatedIn
Clemmys guttata,North Carolina,locatedIn
Clemmys guttata,Pennsylvania,locatedIn
Clemmys guttata,Ohio,locatedIn
Clemmys guttata,New York,locatedIn
Clemmys guttata,California,locatedIn
Clemmys guttata,Georgia,locatedIn
Clemmys guttata,Michigan,locatedIn
Clidoderma asperrimum,,locatedIn
Colobus angolensis,Texas,locatedIn
Conasprella stearnsii,,locatedIn
Conus floridanus,Florida,locatedIn
Conus scalaris,North Carolina,locatedIn
Conus scalaris,Florida,locatedIn
Conus scalaris,,locatedIn
Coregonus hoyi,Wisconsin,locatedIn
Coregonus hoyi,,locatedIn
Coregonus hoyi,Michigan,locatedIn
Coregonus kiyi,,locatedIn
Coregonus kiyi,Michigan,locatedIn
Coregonus kiyi,Wisconsin,locatedIn
Coregonus kiyi,Minnesota,locatedIn
Coregonus zenithicus,,locatedIn
Correlophus ciliatus,California,locatedIn
Coryphopterus eidolon,,locatedIn
Coryphopterus lipernes,,locatedIn
Coryphopterus personatus,,locatedIn
Cosmocampus balli,,locatedIn
Cottus extensus,Idaho,locatedIn
Cottus extensus,Utah,locatedIn
Cottus paulus,Alabama,locatedIn
Cottus tenuis,Oregon,locatedIn
Crangonyx grandimanus,Florida,locatedIn
Crangonyx hobbsi,Florida,locatedIn
Crax alberti,New Mexico,locatedIn
Crematogaster pilosa,Georgia,locatedIn
Crematogaster pilosa,Arkansas,locatedIn
Crematogaster pilosa,Tennessee,locatedIn
Crematogaster pilosa,Alabama,locatedIn
Crematogaster pilosa,Ohio,locatedIn
Crematogaster pilosa,Oklahoma,locatedIn
Crenichthys baileyi,Nevada,locatedIn
Crocodylus acutus,Florida,locatedIn
Crotaphytus reticulatus,Texas,locatedIn
Cryptoprocta ferox,Texas,locatedIn
Crystallaria asprella,Alabama,locatedIn
Crystallaria asprella,Arkansas,locatedIn
Crystallaria asprella,Mississippi,locatedIn
Crystallaria asprella,Wisconsin,locatedIn
Crystallaria asprella,Florida,locatedIn
Crystallaria asprella,Louisiana,locatedIn
Ctenomys sociabilis,California,locatedIn
Cumberlandia monodonta,Tennessee,locatedIn
Cuora amboinensis,Colorado,locatedIn
Cuora amboinensis,California,locatedIn
Cuora flavomarginata,Massachusetts,locatedIn
Cuora galbinifrons,California,locatedIn
Cynomys parvidens,Utah,locatedIn
Cynoscion regalis,,locatedIn
Cynoscion regalis,New Jersey,locatedIn
Cynoscion regalis,Alabama,locatedIn
Cynoscion regalis,Maryland,locatedIn
Cyprinella caerulea,Tennessee,locatedIn
Cyprinella caerulea,Alabama,locatedIn
Cyprinella lepida,Texas,locatedIn
Cyprinella monacha,Tennessee,locatedIn
Cyprinella monacha,North Carolina,locatedIn
Cyprinodon elegans,Texas,locatedIn
Cyprinodon eremus,Arizona,locatedIn
Cyprinodon macularius,Arizona,locatedIn
Cyprinodon macularius,California,locatedIn
Cyprinodon macularius,Michigan,locatedIn
Cyprinodon nevadensis,California,locatedIn
Cyprinodon pecosensis,New Mexico,locatedIn
Cyprinodon salinus,California,locatedIn
Cyprinodon tularosa,New Mexico,locatedIn
Cyprinus carpio,Delaware,locatedIn
Cyprinus carpio,South Carolina,locatedIn
Cyprinus carpio,Iowa,locatedIn
Cyprinus carpio,Missouri,locatedIn
Cyprinus carpio,Illinois,locatedIn
Cyprinus carpio,Wisconsin,locatedIn
Cyprinus carpio,Colorado,locatedIn
Cyprinus carpio,Nebraska,locatedIn
Cyprinus carpio,Washington,locatedIn
Cyprinus carpio,Minnesota,locatedIn
Cyprinus carpio,Florida,locatedIn
Cyprinus carpio,Wyoming,locatedIn
Cyprinus carpio,Oklahoma,locatedIn
Cyprinus carpio,Michigan,locatedIn
Cyprinus carpio,New York,locatedIn
Cyprinus carpio,Maryland,locatedIn
